time_s,amplitude
1.015,-0.047684
1.016,-0.040829
1.017,-0.036359
1.018,-0.030994
1.019,-0.018477
1.02,-0.0074506
1.021,0.0
1.022,-0.00059605
1.023,-0.0089407
1.024,-0.014305
1.025,-0.019968
1.026,-0.025928
1.027,-0.028908
1.028,-0.029802
1.029,-0.024736
1.03,-0.015795
1.031,-0.011027
1.032,-0.0071526
1.033,0.0029802
1.034,0.012219
1.035,0.020266
1.036,0.023246
1.037,0.017881
1.038,0.014901
1.039,0.015497
1.04,0.014305
1.041,0.0083447
1.042,-0.00089407
1.043,-0.0047684
1.044,-0.0047684
1.045,-0.013113
1.046,-0.027716
1.047,-0.033975
1.048,-0.035167
1.049,-0.039637
1.05,-0.0453
1.051,-0.05573
1.052,-0.066459
1.053,-0.070333
1.054,-0.071526
1.055,-0.074804
1.056,-0.076294
1.057,-0.072718
1.058,-0.070632
1.059,-0.071526
1.06,-0.071824
1.061,-0.067353
1.062,-0.061691
1.063,-0.056028
1.064,-0.051558
1.065,-0.053644
1.066,-0.055134
1.067,-0.057817
1.068,-0.059903
1.069,-0.05424
1.07,-0.052452
1.071,-0.047982
1.072,-0.040531
1.073,-0.042617
1.074,-0.0453
1.075,-0.041723
1.076,-0.036955
1.077,-0.033975
1.078,-0.030696
1.079,-0.0301
1.08,-0.033677
1.081,-0.033379
1.082,-0.033975
1.083,-0.039935
1.084,-0.037849
1.085,-0.032187
1.086,-0.029206
1.087,-0.029504
1.088,-0.033379
1.089,-0.030994
1.09,-0.026226
1.091,-0.026226
1.092,-0.029504
1.093,-0.032187
1.094,-0.028312
1.095,-0.021756
1.096,-0.016093
1.097,-0.010729
1.098,-0.00089407
1.099,0.0095367
1.1,0.015199
1.101,0.020862
1.102,0.020862
1.103,0.022948
1.104,0.028312
1.105,0.020266
1.106,0.013113
1.107,0.016987
1.108,0.020564
1.109,0.016987
1.11,0.010431
1.111,0.013709
1.112,0.020862
1.113,0.022948
1.114,0.028014
1.115,0.033081
1.116,0.029206
1.117,0.02861
1.118,0.032783
1.119,0.032187
1.12,0.032187
1.121,0.037849
1.122,0.044405
1.123,0.041127
1.124,0.034273
1.125,0.028908
1.126,0.024438
1.127,0.020266
1.128,0.010729
1.129,0.0035763
1.13,-0.0062585
1.131,-0.022054
1.132,-0.027418
1.133,-0.026226
1.134,-0.023842
1.135,-0.022352
1.136,-0.026226
1.137,-0.03159
1.138,-0.031888
1.139,-0.025034
1.14,-0.026822
1.141,-0.034869
1.142,-0.037551
1.143,-0.036061
1.144,-0.032485
1.145,-0.035167
1.146,-0.034869
1.147,-0.032485
1.148,-0.026822
1.149,-0.016391
1.15,-0.019073
1.151,-0.018477
1.152,-0.0074506
1.153,-0.0023842
1.154,-0.0017881
1.155,-0.0023842
1.156,-0.00059605
1.157,-0.00029802
1.158,0.0023842
1.159,0.0032783
1.16,-0.00089407
1.161,0.0017881
1.162,0.0050664
1.163,0.0035763
1.164,0.0020862
1.165,0.0032783
1.166,0.00059605
1.167,-0.0029802
1.168,0.0029802
1.169,0.0098348
1.17,0.011623
1.171,0.018179
1.172,0.031292
1.173,0.039637
1.174,0.046194
1.175,0.055134
1.176,0.066459
1.177,0.072718
1.178,0.065863
1.179,0.062883
1.18,0.069439
1.181,0.070333
1.182,0.064969
1.183,0.061691
1.184,0.056624
1.185,0.048876
1.186,0.044107
1.187,0.040233
1.188,0.039041
1.189,0.033379
1.19,0.026226
1.191,0.025034
1.192,0.025034
1.193,0.022352
1.194,0.012517
1.195,0.011623
1.196,0.013113
1.197,0.0062585
1.198,0.0080466
1.199,0.0014901
1.2,-0.012517
1.201,-0.018775
1.202,-0.026822
1.203,-0.038445
1.204,-0.053346
1.205,-0.057518
1.206,-0.047088
1.207,-0.040233
1.208,-0.039637
1.209,-0.040829
1.21,-0.039339
1.211,-0.034571
1.212,-0.032485
1.213,-0.036061
1.214,-0.033379
1.215,-0.028312
1.216,-0.029206
1.217,-0.028014
1.218,-0.035167
1.219,-0.039041
1.22,-0.0301
1.221,-0.028312
1.222,-0.030994
1.223,-0.036657
1.224,-0.037253
1.225,-0.0301
1.226,-0.034571
1.227,-0.048578
1.228,-0.065267
1.229,-0.076294
1.23,-0.075996
1.231,-0.075102
1.232,-0.07987
1.233,-0.074208
1.234,-0.060499
1.235,-0.060797
1.236,-0.063181
1.237,-0.058413
1.238,-0.046492
1.239,-0.033379
1.24,-0.02414
1.241,-0.014603
1.242,-0.014305
1.243,-0.011623
1.244,-0.0035763
1.245,-0.0041723
1.246,0.00089407
1.247,0.0074506
1.248,0.0080466
1.249,0.0089407
1.25,0.0029802
1.251,-0.0017881
1.252,0.00029802
1.253,-0.0056624
1.254,-0.011623
1.255,-0.011325
1.256,-0.015795
1.257,-0.016987
1.258,-0.019073
1.259,-0.023246
1.26,-0.022352
1.261,-0.030696
1.262,-0.039935
1.263,-0.039041
1.264,-0.033081
1.265,-0.030398
1.266,-0.033379
1.267,-0.024736
1.268,-0.015199
1.269,-0.017285
1.27,-0.015199
1.271,-0.011325
1.272,-0.0098348
1.273,-0.0089407
1.274,-0.014901
1.275,-0.023544
1.276,-0.028908
1.277,-0.035465
1.278,-0.045896
1.279,-0.053048
1.28,-0.051558
1.281,-0.045598
1.282,-0.040233
1.283,-0.040531
1.284,-0.038445
1.285,-0.029206
1.286,-0.02414
1.287,-0.02563
1.288,-0.028014
1.289,-0.023842
1.29,-0.01967
1.291,-0.022054
1.292,-0.022054
1.293,-0.021458
1.294,-0.023544
1.295,-0.025034
1.296,-0.014901
1.297,-0.0041723
1.298,0.00089407
1.299,0.010729
1.3,0.010133
1.301,-0.00059605
1.302,-0.012219
1.303,-0.021756
1.304,-0.01967
1.305,-0.020862
1.306,-0.022352
1.307,-0.013709
1.308,-0.0041723
1.309,0.00029802
1.31,0.0035763
1.311,0.018179
1.312,0.041723
1.313,0.058711
1.314,0.065863
1.315,0.065565
1.316,0.059903
1.317,0.052154
1.318,0.050366
1.319,0.046492
1.32,0.034273
1.321,0.023246
1.322,0.011325
1.323,-0.0062585
1.324,-0.021756
1.325,-0.02861
1.326,-0.031292
1.327,-0.036955
1.328,-0.041723
1.329,-0.041723
1.33,-0.035763
